"purpose","tags"
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
"train",2
